field_name,type,mode
Items_Product_Category,STRING,NULLABLE
Items_Category_ID,INTEGER,NULLABLE
Items_Manufacturer_ID,STRING,NULLABLE
Items_Group_ID,INTEGER,NULLABLE
Invoices_Invoice_Number,STRING,NULLABLE
Invoices_Invoice_Date,DATE,NULLABLE
Invoices_Invoice_Status,STRING,NULLABLE
Invoices_Customer_ID,INTEGER,NULLABLE
Invoices_Due_Date,DATE,NULLABLE
Invoices_Discount____,FLOAT,NULLABLE
Invoices_Sub_Total__BCY_,FLOAT,NULLABLE
Invoices_Discount_Amount,FLOAT,NULLABLE
Invoices_Adjustment__BCY_,FLOAT,NULLABLE
Invoices_Total__BCY_,FLOAT,NULLABLE
Invoices_Sales_Person_ID,INTEGER,NULLABLE
Invoices_Created_Time,TIMESTAMP,NULLABLE
Invoices_Age_In_Days,INTEGER,NULLABLE
Invoices_Age_Tier,STRING,NULLABLE
Invoices_Subscription_ID,STRING,NULLABLE
Invoices_Type,STRING,NULLABLE
Invoices_Balance__BCY_,FLOAT,NULLABLE
Invoices_Purchase_Order_,STRING,NULLABLE
Invoices_Exchange_Rate,FLOAT,NULLABLE
Invoices_Write_Off_Amount__BCY_,FLOAT,NULLABLE
Invoices_Last_Modified_Time,TIMESTAMP,NULLABLE
Invoices_Discount_Amount__BCY_,FLOAT,NULLABLE
Invoices_Discount_Amount__FCY_,FLOAT,NULLABLE
Invoices_Status,STRING,NULLABLE
Invoices_COD_Status,STRING,NULLABLE
Warehouses_Warehouse_ID,INTEGER,NULLABLE
Warehouses_Last_Modified_Time,TIMESTAMP,NULLABLE
Warehouses_Created_Time,TIMESTAMP,NULLABLE
Warehouses_Warehouse_Name,STRING,NULLABLE
Warehouses_City,STRING,NULLABLE
Warehouses_State,STRING,NULLABLE
Warehouses_ZIP_Postal_Code,INTEGER,NULLABLE
TAKE_RATE1_S_No_,INTEGER,NULLABLE
TAKE_RATE1_FOB,FLOAT,NULLABLE
Sales_Persons_Sales_Person_ID,INTEGER,NULLABLE
Sales_Persons_Name,STRING,NULLABLE
Sales_Persons_Status,STRING,NULLABLE
Sales_Persons_Last_Modified_Time,TIMESTAMP,NULLABLE
Sales_Persons_Created_Time,TIMESTAMP,NULLABLE
Branch_Mapping_Branch_Name,STRING,NULLABLE
Customers_Customer_Name,STRING,NULLABLE
Customers_Phone,INTEGER,NULLABLE
Customers_Mobile_Phone,INTEGER,NULLABLE
Sales_Orders_Reference_Number,STRING,NULLABLE
Customer_Addresses_Billing_City,STRING,NULLABLE
Customer_Addresses_Billing_Code,STRING,NULLABLE
Customer_Addresses_Billing_State,STRING,NULLABLE
Customer_Addresses_Shipping_City,STRING,NULLABLE
Customer_Addresses_Shipping_Code,STRING,NULLABLE
Customer_Addresses_Shipping_State,STRING,NULLABLE
Invoice_Items_Invoice_ID,INTEGER,NULLABLE
Invoice_Items_Quantity,FLOAT,NULLABLE
Invoice_Items_Sub_Total__BCY_,FLOAT,NULLABLE
Invoice_Items_Total__BCY_,FLOAT,NULLABLE
TAKE_RATE1_Category,STRING,NULLABLE
TAKE_RATE1_SKU,STRING,NULLABLE
TAKE_RATE1_Item_name,STRING,NULLABLE
month_of_sale,STRING,NULLABLE
week_of_sale,INTEGER,NULLABLE
year_of_sale,INTEGER,NULLABLE
weekday,STRING,NULLABLE
week_start_date,STRING,NULLABLE
week_end_date,STRING,NULLABLE
sale_week,STRING,NULLABLE
sale_day,STRING,NULLABLE
business_week_name,STRING,NULLABLE
